,DATE-OBS,FILTER,EXP-TIME,AIRMASS,FWHM,XBINNING,SEEING,IMAGE-NAME
0,2019-04-05T23:25:06,R,30.0,1.0255786804910132,1.8312,2,1.1818332020451763,1998NU_30s_b2x2-001_R.fit
1,2019-04-06T00:00:20,R,30.0,1.0431493654670865,1.8842,2,1.2037073105283713,1998NU_30s_b2x2-035_R.fit
2,2019-04-06T01:00:28,R,30.0,1.138095979896444,1.9481,2,1.1811517844382091,1998NU_30s_b2x2-136_R.fit
3,2019-04-06T02:14:52,R,30.0,1.4365513252761348,2.8025,2,1.4775926788989415,1998NU_30s_b2x2-154_R.fit
4,2019-04-06T02:47:09,R,30.0,1.687508779075652,2.5079,2,1.200506148144616,1998NU_30s_b2x2-201_R.fit
0,2019-04-08T00:32:04,R,30.0,1.081833182555764,2.0309,2,1.2693873272805074,1998NU_30s_b2x2-001_R.fit
1,2019-04-08T01:00:07,R,30.0,1.138546332275824,1.8805,2,1.1398946365928981,1998NU_30s_b2x2-052_R.fit
2,2019-04-08T02:00:12,R,30.0,1.3573943632340333,1.9982,2,1.0899764819760813,1998NU_30s_b2x2-144_R.fit
3,2019-04-08T03:07:51,R,30.0,1.2120087813713116,1.8278,2,1.0671537891157143,666_30s_b2x2-001_R.fit
4,2019-04-08T04:00:11,R,30.0,1.4734715039731896,2.0957,2,1.088242959818819,666_30s_b2x2-093_R.fit
5,2019-04-08T04:36:16,R,30.0,1.7953655857892237,2.3524,2,1.0849787457417313,666_30s_b2x2-122_R.fit
